TOR,TOR @ NYK,01/16/2023,W,265,123,38,96,39.6,13,44,29.5,34,41,82.9,14,28,42,27,8,12,6,25,2
PHX,PHX @ MEM,01/16/2023,L,240,106,39,89,43.8,10,33,30.3,18,19,94.7,9,28,37,33,4,4,15,22,-30
CHA,CHA vs. BOS,01/16/2023,L,240,118,41,90,45.6,13,31,41.9,23,30,76.7,13,25,38,26,7,2,5,18,-12
BOS,BOS @ CHA,01/16/2023,W,240,130,43,87,49.4,20,43,46.5,24,25,96.0,14,33,47,34,1,4,12,21,12
MEM,MEM vs. PHX,01/16/2023,W,240,136,52,98,53.1,16,37,43.2,16,20,80.0,13,38,51,29,8,6,11,19,30
GSW,GSW @ WAS,01/16/2023,W,240,127,45,91,49.5,18,44,40.9,19,21,90.5,9,34,43,28,8,1,12,23,9
MIL,MIL vs. IND,01/16/2023,W,240,132,48,91,52.7,23,46,50.0,13,15,86.7,9,32,41,32,9,1,14,14,13
WAS,WAS vs. GSW,01/16/2023,L,240,118,42,86,48.8,14,35,40.0,20,23,87.0,6,30,36,31,7,2,14,21,-9
NOP,NOP @ CLE,01/16/2023,L,240,103,38,75,50.7,10,27,37.0,17,22,77.3,3,25,28,26,9,1,17,23,-10
CLE,CLE vs. NOP,01/16/2023,W,240,113,39,80,48.8,9,28,32.1,26,33,78.8,13,30,43,22,5,4,15,19,10
SAS,SAS vs. SAC,01/15/2023,L,240,119,48,93,51.6,10,26,38.5,13,20,65.0,11,29,40,27,1,3,10,21,-13
SAC,SAC @ SAS,01/15/2023,W,240,132,49,89,55.1,14,30,46.7,20,25,80.0,7,31,38,24,5,2,6,19,13
NYK,NYK @ DET,01/15/2023,W,240,117,40,88,45.5,12,30,40.0,25,31,80.6,18,34,52,17,3,6,8,12,13
DET,DET vs. NYK,01/15/2023,L,240,104,37,83,44.6,18,44,40.9,12,15,80.0,9,29,38,23,4,4,12,22,-13
PHI,PHI @ LAL,01/15/2023,W,240,113,43,85,50.6,12,34,35.3,15,19,78.9,5,33,38,29,3,7,10,16,1
